Grupo Empresarial;Código;Descrição;Conta Contábil;
FECD;A1.2.2.04;Reagentes;21304021;
FECD;FECD001.1.1.07.05;DESPESAS DE IMPORTAÇÃO;45005010;
FECD;GRANT001.1.1.05.01;REAGENTES;21704021;
FECD;FECD001.1.1.07.04;ALUGUÉIS;45005017;
FECD;FECD001.1.4.02.017;BANCO ITAÚ C/C 99.864-7 - UNIVERSIDADE MASSACHUSETTS;35001005;
FECD;FECD001.1.1.10.22;PROVISÃO INSS 13. SALARIO;45001025;
FECD;FECD001.1.1.07.12;LOCAÇÃO URBANA;45005016;
FECD;FECD001.1.1.01.02;MESTRADO;45005004;
FECD;PROJ001.1.1.01.03;DOUTORADO;21501004;
FECD;PROJ001.1.1.10.20;PROVISÃO DE 13º SALARIO - PROJETOS;21509001;
FECD;GRANT001.1.1.07.05;DESPESAS DE IMPORTAÇÃO;21704021;
FECD;FECD001.1.4.01.055;BANCO ITAÚ C/C 99.869-6 - UMAA - PROF. VINICIUS;35001006;
FECD;A1.2.2.05;Desembolso - Manuntenção de equipamentos;21304014;
FECD;PROJ001.1.1.07.05;DESPESAS DE IMPORTAÇÃO;21504027;
FECD;GRANT001.1.1.07.12;LOCAÇÃO URBANA;21704007;
FECD;GRANT001.1.4.01.02;DOAÇÃO GRANTS;21601001;
FECD;A1.1.5.03;Salários, Encargos e Benefícios;21301038;
FECD;GRANT001.1.1.03.02;PASSAGENS INTERNACIONAIS;21704024;
FECD;TEP001.1.1.01.07;AGENTE DE INOVAÇÃO;21301023;
FECD;FECD001.1.4.01.030;BANCO DO BRASIL C/C 9.218-5 - SERVATIS;35001006;
FECD;GRANT001.1.1.04.03;MEDICAMENTOS;21704025;
FECD;FECD001.1.2.01.01;COMPUTADORES;12201004;
FECD;GRANT001.1.1.01.02;MESTRADO;21701004;
FECD;FECD001.1.2.02.01;MÓVEIS E UTENSÍLIOS;12201003;
FECD;TEP001.1.1.07.22;INSCRIÇÕES EM CONGRESSO OU CURSOS;21308002;
FECD;FECD001.2.1.03;IRRF (BOLSISTA);35002011;
FECD;GRANT001.1.1.07.25;FRETE;21704010;
FECD;FECD001.1.4.01.027;BANCO DO BRASIL C/C 8.447-6 - UMMC ICB UFRJ;35001006;
FECD;FECD001.1.1.04.04;RAÇÃO;45005029;
FECD;FECD001.1.4.01.011;BANCO DO BRASIL C/C 10.801-4 - ICB WORKSHOP INFLAM.;35001006;
FECD;TEP001.1.1.07.06;SEQUENCIAMENTOS;21302003;
FECD;GRANT002.1.4.01.01;GRANTS (ADMINISTRAÇÃO);21704020;
FECD;GRANT001.1.1.04.02;ANIMAIS;21704025;
FECD;FECD001.1.4.03.004;BANCO DO BRASIL C/C 35.776-6 - WBBT;35001009;
FECD;GRANT001.1.1.07.10;PEQUENAS REFORMAS;21704017;
FECD;A1.4.1.05;Diária para saídas de campo e eventos (1 diária);21301024;
FECD;IMP004.98;SALDO INICIAL;21104002;
FECD;FECD001.2.1.02;IRRF (AUTONOMO);35002010;
FECD;TEP001.1.1.01.06;DESENVOLVEDOR DE PROTOCOLOS CIENTÍFICOS;21301023;
FECD;IMP004.00;RECEBIMENTOS DE IMPORTAÇÃO;21104002;
FECD;FECD001.1.1.02.02;DIÁRIAS INTERNACIONAIS;45005023;
FECD;GRANT001.1.1.05.05;MATERIAIS DE CONSUMO - IMPORTAÇÃO FECD;21704015;
FECD;TEP001.1.1.04.01;REAGENTES;21304025;
FECD;A1.2.4.01;Acessórios de informática (1 un.);21307008;
FECD;GRANT001.1.3.01.04;IRRF S/ APLICAÇÃO;21706002;
FECD;A2.1.5.01;Materiais de Consumo - Exposições BioMuseu (1 un.);21304015;
FECD;GRANT002.1.3.01.02;(+) RENDIMENTOS (ADMINISTRAÇÃO);21602001;
FECD;PROJ001.1.1.07.19;SEGUROS;21504026;
FECD;FECD001.1.1.10.27;PROVISÃO PIS 13.SALARIO;45001030;
FECD;FECD001.1.4.01.034;BANCO ITAÚ C/C 14.310-3 - INCT - PLO;35001006;
FECD;FECD001.1.4.02.015;BANCO ITAÚ C/C 99.858-9 - BILL E MELINDA GATES;35001005;
FECD;GRANT002.1.3.01.99;TRANSF. DE RENDIMENTOS APURADOS ADM.;21304020;
FECD;PROJ001.1.1.02.03;DIÁRIAS DE CAMPO;21501005;
FECD;PROJ001.1.2.02.01;MÓVEIS E UTENSÍLIOS;21504004;
FECD;GRANT001.1.1.07.11;INFORMÁTICA;21702003;
FECD;FECD001.1.4.03.012;BANCO ITAÚ C/C 99.861-3 - NANOBUSINESS;35001009;
FECD;FECD001.1.1.10.17;13. SALARIO;45001001;
FECD;A1.4.3.01;Acessórios Informática (1 un.);21307008;
FECD;2.1.2;Uniformes/ Material de Segurança;21304015;
FECD;GRANT002.1.1.04.07;MATERIAL DE INFORMÁTICA;21707007;
FECD;PROJ001.1.3.01.04;IRRF S/ APLICAÇÃO;21506002;
FECD;FECD001.1.1.04.09;MATERIAL P/ COFFEE BREAK;45005021;
FECD;PROJ001.1.1.10.11;VALE TRANSPORTE - PROJETOS;21501021;
FECD;TEP001.1.1.03;PASSAGENS;21304024;
FECD;PROJ001.1.1.07.12;LOCAÇÃO URBANA;21504007;
FECD;FECD001.1.4.01.024;BANCO DO BRASIL C/C 42.106-5 - F G CENPES LS IMPPG;35001006;
FECD;TEP001.1.1.07.03;XEROX;21307004;
FECD;PROJ001.1.1.04.07;MATERIAL DE INFORMÁTICA;21507007;
FECD;GRANT001.1.1.07.18;TELEFONE;21703002;
FECD;FECD001.1.4.01.008;BANCO DO BRASIL C/C 10.797-2 - IBCCF CEMBIO RSMB;35001006;
FECD;FECD001.1.1.10.29;PROVISÃO PIS FERIAS;45001032;
FECD;PROJ001.1.1.04.05;MATERIAL DE LIMPEZA;21504016;
FECD;PROJ001.1.1.10.17;13º SALARIO - PROJETOS;21501003;
FECD;1.2.2;Bolsas;21301023;
FECD;FECD001.1.1.10.26;PROVISÃO DE FERIAS;45001029;
FECD;GRANT001.1.1.06.02;INSS;21701012;
FECD;GRANT001.1.1.07.26;JUROS / MULTA;21705002;
FECD;A1.1.1.02;Desembolso - Software utilitários;21304004;
FECD;PROJ001.1.1.10.09;AJUDA DE CUSTO - PROJETOS;21501023;
FECD;A1.1.2.01;Combustível para veículos e embarcações (litro);21304006;
FECD;PROJ002.1.1.06.02;INSS;21501012;
FECD;GRANT001.1.1.07.16;ESTACIONAMENTO;21704027;
FECD;FECD001.1.1.07.28;CERTIFICADO DIGITAL;45002005;
FECD;GRANT001.1.1.07.23;IOF;21705001;
FECD;FECD001.1.4.01.002;BANCO DO BRASIL C/C 10.781-6 - DECANIA CCS UFRJ;35001006;
FECD;GRANT001.1.1.02.01;DIÁRIAS NACIONAIS;21701005;
FECD;A1.5.3.01;Participação em eventos e congressos;21304011;
FECD;A1.5.1.02;Microwave Digestion Systems (para digestão amostras contaminantes em resíduos sólidos) (1 un.);21304004;
FECD;FECD001.1.4.02.011;BANCO ITAÚ C/C 99.889-4 - ANA PAULA C A LIMA DNDI;35001005;
FECD;FECD001.1.4.01.003;BANCO DO BRASIL C/C 10.783-2 - EQUIPAMENTOS CENABIO;35001006;
FECD;GRANT002.1.4.01.99;TRANSFERÊNCIA DE SALDO (ADMINISTRAÇÃO);21704020;
FECD;FECD001.1.1.07.07;ISS;21103009;
FECD;FECD001.1.4.02.021;BANCO ITAÚ C/C 99.879-5 - ABBOTT COVID FLU;35001005;
FECD;GRANT002.1.1.04.06;MATERIAL DE PAPELARIA;21707004;
FECD;GRANT002.1.1.06.01;PRESTAÇÕES DE SERVIÇOS (AUTÔNOMO);21701020;
FECD;GRANT001.1.1.03.03;PASSAGENS P/ CAMPO;21704024;
FECD;PROJ001.1.1.06.03;IRRF;21506001;
FECD;TEP001.1.1.07.25;FRETE;21304010;
FECD;TEP001.1.1.07.15;GRÁFICOS;21304022;
FECD;FECD001.1.4.03.010;BANCO ITAU C/C 14.909-2 - SERRAPILHEIRA OLAVO;35001009;
FECD;GRANT001.1.1.04.14;MATERIAIS PARA OBRAS E REFORMAS;21704017;
FECD;FECD001.1.4.01.051;BANCO ITAÚ C/C 99.884-5 - IBQM;35001006;
FECD;FECD001.1.1.10.09;AJUDA DE CUSTO;45001018;
FECD;FECD001.1.4.02.005;BANCO ITAÚ C/C 14.405-1 - ALZHEIMER S ASSOCIATION;35001005;
FECD;FECD001.1.1.10.14;SEGURO DE VIDA;45001003;
FECD;PROJ001.1.1.07.09;PIS / COFINS / CSLL;21506003;
FECD;TEP001.1.1.06.02;INSS;21301032;
FECD;FECD001.1.4.01.048;BANCO ITAÚ C/C 99.872-0 - BIOBUREAL PROFª CLAUDIA RUSSO;35001006;
FECD;PROJ002.1.1.04.06;MATERIAL DE PAPELARIA;21507011;
FECD;PROJ002.1.1.03.03;PASSAGENS P/ CAMPO;21504007;
FECD;A2.3.1.01;Salário e benefícios (Ordenador de despesas);21304020;
FECD;A1.4.2.02;Materiais de Uso e Consumo (unidades variadas);21304015;
FECD;TEP001.1.1.04.12;PARTES E PEÇAS;21304017;
FECD;TEP001.1.1.07.10;PEQUENAS REFORMAS;21304017;
FECD;1.6.3;Kit Cartilha;21308003;
FECD;PROJ001.1.1.05.04;ANTICORPOS;21504025;
FECD;1.3.1;Alugueis de Imóvel e Taxas;21307001;
FECD;PROJ002.1.1.02.02;DIÁRIAS INTERNACIONAIS;21501005;
FECD;GRANT002.1.1.03.01;PASSAGENS NACIONAIS;21701004;
FECD;GRANT001.1.1.01.10;PESQUISADOR SENIOR;21701004;
FECD;FECD001.1.1.07.11;INFORMÁTICA;45002005;
FECD;1.6.4;Plano de comunicação;21308003;
FECD;FECD001.1.1.01.01;INICIAÇÃO CIENTÍFICA;45005004;
FECD;TEP001.1.1.04.02;ANIMAIS;21304025;
FECD;TEP001.1.1.04.13;MATERIAIS DE LABORATORIO;21304025;
FECD;GRANT001.1.1.06.01;PRESTAÇÕES DE SERVIÇOS (AUTÔNOMO);21701020;
FECD;PROJ001.1.1.04.09;MATERIAL P/ COFFEE BREAK;21504005;
FECD;PROJ002.1.4.01.99;TRANSFERÊNCIA DE SALDO (ADMINISTRAÇÃO);21504020;
FECD;GRANT001.1.1.07.22;INSCRIÇÕES EM CONGRESSO OU CURSOS;21708002;
FECD;GRANT002.1.1.07.01;PRESTAÇÃO DE SERVIÇOS ;21702003;
FECD;A2.1.2.02;tablet 256Gb 8Gb RAM (1 un.), óculos realidade virtual (1 un.) PROJETO SENSORIAR;21304004;
FECD;A1.1.1.04;Receptores RTK (1 un.);21304004;
FECD;GRANT001.1.1.07.01;PRESTAÇÃO DE SERVIÇOS ;21702003;
FECD;GRANT001.1.1.07.21;CARTORIO;21708007;
FECD;FECD001.1.3.01.03;(-) RETRAÇÃO;35006003;
FECD;FECD001.1.4.01.035;BANCO ITAÚ C/C 14.338-4 - SAE;35001006;
FECD;FECD001.1.4.01.017;BANCO DO BRASIL C/C 303.800-9 - PROJ DIVERSOS;35001006;
FECD;PROJ001.1.1.07.04;ALUGUÉIS;21507001;
FECD;GRANT001.1.1.07.17;LOCOMOÇÃO URBANA;21704007;
FECD;PROJ001.1.1.05.02;ANIMAIS;21504025;
FECD;IMP004.19;REPASSE DE TAXA IMPORTAÇÃO;21104002;
FECD;GRANT002.1.1.02.03;DIÁRIAS DE CAMPO;21701005;
FECD;TEP001.1.1.05.02;ANIMAIS;21304025;
FECD;PROJ002.1.1.02.01;DIÁRIAS NACIONAIS;21501005;
FECD;TEP001.1.1.07.04;ALUGUÉIS;21307001;
FECD;TEP001.1.1.01.11;PESQUISA;21301023;
FECD;PROJ002.1.3.01.99;TRANSF. DE RENDIMENTOS APURADOS ADM.;21402001;
FECD;A1.4.1.03;Desembolso - Administrativo;21307005;
FECD;A1.1.1.05;Serviço de Auxílio em levantamentos geodésicos nas praias;21302003;
FECD;A1.4.1.07;Salários, Encargos e Benefícios;21301038;
FECD;TEP001.1.1.07.14;MANUTENÇÃO E REPARO DE BENS;21302003;
FECD;FECD001.1.4.01.046;BANCO ITAÚ C/C 99.862-1 - META2MS - LABMETA;35001006;
FECD;1.3.4;Tarifas bancárias;21305003;
FECD;FECD001.1.4.03.008;BANCO ITAÚ C/C 14241-0 LAGUNARES;35001004;
FECD;FECD001.1.1.07.26;ASSESSORIA ECONOMICA;45002005;
FECD;FECD001.1.4.01.019;BANCO DO BRASIL C/C 35.635-2 - CE ANATO;35001006;
FECD;PROJ002.1.1.10.01;SALÁRIOS;21501019;
FECD;FECD001.1.4.01.031;BANCO DO BRASIL C/C 9.219-3 - LABIOM;35001006;
FECD;PROJ001.1.1.03.03;PASSAGENS P/ CAMPO;21504024;
FECD;FECD001.1.4.01.054;BANCO ITAÚ C/C 99.853-0 - PROJETO CAUCAO SAE;35001006;
FECD;PROJ001.1.1.01.04;PÓS DOUTORADO;21501004;
FECD;GRANT002.1.1.03.03;PASSAGENS P/ CAMPO;21701005;
FECD;FECD001.1.4.02.010;BANCO ITAÚ C/C 99.894-4 - LVM ABBOTT RAPID DIAGNOSTICS;35001005;
FECD;FECD001.1.1.07.21;CARTORIO;45005030;
FECD;FECD001.1.1.10.03;FGTS;45001006;
FECD;FECD001.1.1.05.02;ANIMAIS;45005029;
FECD;1.4.2;Combustivel;21304006;
FECD;FECD001.1.3.01.02;(+) RENDIMENTOS;35006003;
FECD;GRANT001.1.2.01.02;MAQUINAS E EQUIPAMENTOS;21704004;
FECD;FECD001.1.1.04.11;GASES INDUSTRIAIS;45005029;
FECD;FECD001.1.4.03.011;BANCO ITAU C/C 15.001-7 - SERRAPILHERA  AMILCA;35001009;
FECD;PROJ001.1.1.05.05;MATERIAIS DE CONSUMO - IMPORTAÇÃO FECD;21504025;
FECD;TEP001.1.1.07.20;INTERNET;21303001;
FECD;PROJ001.1.1.04.12;PARTES E PEÇAS;21504015;
FECD;FECD001.1.4.03.013;BANCO ITAÚ C/C 99.874-6 - PETRO COSTAO ROCHOSO;35001004;
FECD;GRANT001.1.1.07.14;MANUTENÇÃO E REPARO DE BENS;21704014;
FECD;GRANT002.1.1.02.02;DIÁRIAS INTERNACIONAIS;21701005;
FECD;GRANT002.1.1.01.01;INICIAÇÃO CIENTÍFICA;21701004;
FECD;A1.2.2.03;Mobiliário Coleção de Aves;21304015;
FECD;PROJ001.1.1.07.21;CARTÓRIO;21507013;
FECD;FECD001.1.4.01.044;BANCO ITAÚ C/C 99.857-1 - CRISTÁLIA PRFª GISELE;35001006;
FECD;GRANT001.1.3.01.05;IOF S/ APLICAÇÃO;21706004;
FECD;FECD001.1.4.02.026;BANCO ITAÚ C/C 14.383-5 - NOVARTIS - PROFA. ANA PAULA;35001005;
FECD;GRANT001.1.1.01.08;APOIO TÉCNICO A PESQUISA;21701004;
FECD;FECD001.1.4.02.003;BANCO ITAÚ C/C 14.365-7 - NOZIKA;35001005;
FECD;A2.2.1.03;Desembolso passagens internacionais;21304024;
FECD;PROJ001.1.1.01.02;MESTRADO;21501004;
FECD;GRANT001.1.1.04.08;ÁGUA;21704015;
FECD;A1.3.1.01;Bolsa Iniciação Científica - A definir (mês);21301023;
FECD;FECD001.1.4.02.006;BANCO ITAÚ C/C 99.890-2 - GRANTS ORPAGS;35001005;
FECD;TEP001.1.1.02.02;DIÁRIAS INTERNACIONAIS;21301024;
FECD;FECD001.1.4.01.012;BANCO DO BRASIL C/C 10.806-5 - IB LABIM IDSN;35001006;
FECD;FECD001.1.4.03.015;BANCO ITAÚ C/C 99.886-0 - BIOTECMAR;35001009;
FECD;TEP001.1.1.02.01;DIÁRIAS NACIONAIS;21301024;
FECD;FECD001.1.1.10.13;PLANO DE SAUDE E ODONTO;45001019;
FECD;GRANT001.1.3.01.02;(+) RENDIMENTOS;21602001;
FECD;PROJ001.1.1.04.06;MATERIAL DE PAPELARIA;21507011;
FECD;FECD001.1.4.01.010;BANCO DO BRASIL C/C 10.799-9 - IBCCF MRC APCAL;35001006;
FECD;FECD001.1.1.07.20;INTERNET;45004005;
FECD;FECD001.1.1.07.24;ASSESSORIA JURIDICA;45002003;
FECD;GRANT001.1.1.04.04;RAÇÃO;21704025;
FECD;PROJ001.1.3.01.02;(+) RENDIMENTOS;21402001;
FECD;A2.1.2.03;Desembolso - acessórios eletrônicos;21307008;
FECD;PROJ001.1.1.10.14;SEGURO DE VIDA - PROJETOS;21504026;
FECD;PROJ001.1.1.03.01;PASSAGENS NACIONAIS;21504024;
FECD;A1.4.1.01;Bolsa Iniciação Científica - A definir (mês);21301023;
FECD;TEP002.1.4.01.01;TERMOS E PARCERIAS (ADMINISTRAÇÃO);21304020;
FECD;FECD001.1.4.01.018;BANCO DO BRASIL C/C 33.851-6 - EGF 151;35001006;
FECD;PROJ001.1.1.10.02;INSS - PROJETOS;21501012;
FECD;TEP001.1.1.04.10;COMBUSTÍVEIS;21304006;
FECD;FECD001.1.1.10.02;INSS ;45001005;
FECD;GRANT002.1.1.06.03;IRRF;21701014;
FECD;GRANT001.1.2.01.01;COMPUTADORES;21704004;
FECD;FECD001.1.1.04.08;ÁGUA;45005006;
FECD;A1.5.1.03;Reagentes e diversos para análises (1 un.);21304021;
FECD;GRANT001.1.1.05.03;MEDICAMENTOS;21704025;
FECD;FECD001.1.1.03.03;PASSAGENS P/ CAMPO;45005013;
FECD;TEP001.1.1.04.03;MEDICAMENTOS;21304025;
FECD;A2.1.4.01;Materiais de Uso e Consumo (unidades variadas);21304015;
FECD;GRANT001.1.1.01.04;PÓS DOUTORADO;21701004;
FECD;FECD001.1.1.05.01;REAGENTES;45005029;
FECD;GRANT001.1.1.04.11;GASES INDUSTRIAIS;21704015;
FECD;GRANT001.1.1.07.03;XEROX;21707003;
FECD;A1.5.2.05;Salários, Encargos e Benefícios;21301038;
FECD;FECD001.1.1.02.01;DIÁRIAS NACIONAIS;45005023;
FECD;GRANT001.1.1.02.02;DIÁRIAS INTERNACIONAIS;21701005;
FECD;GRANT001.1.1.07.20;INTERNET;21703001;
FECD;GRANT001.1.1.01.07;AGENTE DE INOVAÇÃO;21701004;
FECD;FECD001.1.1.01.068;BANCO ITAÚ C/C 99.832-4 - ACELOR MITTAL (VOTORANTIN);35001006;
FECD;TEP001.1.1.07.02;DESPESAS BANCÁRIAS;21305003;
FECD;GRANT001.1.1.07.04;ALUGUÉIS;21707001;
FECD;FECD001.1.4.01.016;BANCO DO BRASIL C/C 23.738-8 - XII SILAE;35001006;
FECD;PROJ001.1.1.05.03;MEDICAMENTOS;21504025;
FECD;TEP001.1.2.01.01;COMPUTADORES;21304004;
FECD;PROJ001.1.4.01.02;DOAÇÕES;21401001;
FECD;FECD001.1.4.02.024;BANCO ITAÚ C/C 99.894-4 - ABBOTT RAPID DIAGNOSTICS;35001005;
FECD;PROJ001.1.1.10.06;ANUENIOS - PROJETOS;21501026;
FECD;PROJ002.1.3.01.03;(-) RETRAÇÃO (ADMINISTRAÇÃO);21402001;
FECD;FECD001.1.4.03.006;BANCO DO BRASIL C/C 39.502-1 - WELCOME APL IBCCF;35001009;
FECD;FECD001.1.4.03.020;BANCO DO BRASIL C/C 8.931-1 - NANO VALID INMETRO;35001009;
FECD;TEP001.1.1.07.18;TELEFONE;21303002;
FECD;FECD001.1.4.02.020;BANCO ITAÚ C/C 99.878-7 - LVM ABBOTT PANBIO;35001005;
FECD;A1.5.3.02;Resultado esperado: - RE 2.1. Promoção de eventos de sensibilização e divulgação científica relacionados a poluição marinha;21304011;
FECD;FECD001.1.1.04.06;MATERIAL DE PAPELARIA;45005006;
FECD;GRANT001.1.4.02.01;DESCONTOS OBTIDOS;21602003;
FECD;A1.3.1.02;Combustível para veículos e embarcações (litro);21304006;
FECD;FECD001.1.1.07.19;SEGUROS;45005026;
FECD;FECD001.1.4.03.003;BANCO DO BRASIL C/C 10.805-7 - IBQM IS OBA;35001009;
FECD;FECD001.1.4.01.032;BANCO DO BRASIL C/C 9.359-9 - BNI LMPPG;35001006;
FECD;1.3.3;Despesas Administrativas e Operacionais - Licenciamento veicular e outras taxas;21307010;
FECD;FECD001.1.4.02.034;BANCO ITAÚ C/C 99.844-9 - IMS PROFª EDUARDA BARBOSA;35001005;
FECD;PROJ001.1.1.07.03;XEROX;21507003;
FECD;PROJ001.1.1.10.16;1/3 FERIAS - PROJETOS;21501002;
FECD;PROJ002.1.1.03.01;PASSAGENS NACIONAIS;21504024;
FECD;PROJ001.1.1.07.16;ESTACIONAMENTO;21504030;
FECD;GRANT001.1.1.07.19;SEGUROS;21704026;
FECD;FECD001.1.4.01.038;BANCO ITAÚ C/C 14.360-8 - LVM INSTITUTO BIOLOGIA;35001006;
FECD;FECD001.1.1.05.04;ANTICORPOS;45005029;
FECD;1.5.1;Material de Suporte às Atividades do Projeto;21304015;
FECD;PROJ001.1.1.07.08;IRRF NFS;21506005;
FECD;A1.1.1.06;Taxas de importação;21302003;
FECD;PROJ001.1.1.10.22;PROVISÃO INSS 13º SALÁRIO - PROJETOS;21509005;
FECD;PROJ001.1.2.01.01;COMPUTADORES;21504004;
FECD;PROJ001.1.1.05.01;REAGENTES;21504021;
FECD;A2.3.2.01;Bolsa de Extensão - A definir (1 mês);21301023;
FECD;A1.2.3.01;Diária para saídas de campo e eventos (1 diária);21301024;
FECD;FECD001.1.4.01.021;BANCO DO BRASIL C/C 39.500-5 - MN UFRJ VOTORAN;35001006;
FECD;A1.3.3.03;Salários, Encargos e Benefícios;21301038;
FECD;FECD001.1.4.01.026;BANCO DO BRASIL C/C 7.869-7 - RIO PARAIBA DO SUL II;35001006;
FECD;FECD001.1.4.01.015;BANCO DO BRASIL C/C 21.098-6 - CRISTAL PM;35001006;
FECD;A1.3.2.04;Recarga em cilindros de ar respirável de 11 litros;21304025;
FECD;FECD001.1.4.01.053;BANCO ITAÚ C/C 99.849-8 - PROJETOS DIVERSOS;35001006;
FECD;GRANT001.1.1.04.13;MATERIAIS DE LABORATÓRIO;21704025;
FECD;FECD001.2.1.04;ISS;35002012;
FECD;PROJ001.1.1.10.19;EXAME MEDICO - PROJETOS;21501006;
FECD;GRANT001.1.1.01.99;ADIANTAMENTO PARA BOLSAS;21701004;
FECD;PROJ001.1.1.07.07;ISS;21506004;
FECD;A1.4.2.01;Bens;21304004;
FECD;PROJ002.1.1.01.01;INICIAÇÃO CIENTÍFICA;21501004;
