Grupo Empresarial;Código;Descrição;Conta Contábil;
FECD;GRANT002.1.1.02.01;DIÁRIAS NACIONAIS;21701005;
FECD;TEP001.1.1.07.24;ANUIDADES;21304003;
FECD;PROJ001.1.1.07.26;JUROS / MULTA;21505002;
FECD;FECD001.1.4.02.012;BANCO ITAÚ C/C 99.887-8 - LVM OMICRON;35001005;
FECD;A2.1.1.02;Bolsa Extensão - A definir (mês) Projeto Oceanos NUPEM Bruna (Mês);21301023;
FECD;TEP001.1.1.03.02;PASSAGENS INTERNACIONAIS;21304024;
FECD;TEP001.1.1.07.19;SEGUROS;21302003;
FECD;TEP001.1.3.01.02;(+) RENDIMENTOS;21202001;
FECD;FECD001.1.4.02.018;BANCO ITAÚ C/C 99.875-3 - GRANT RKI CLARISSA;35001005;
FECD;FECD001.1.1.10.10;ADICIONAL DE INSALUBRIDADE;45001020;
FECD;FECD001.1.4.03.018;BANCO ITAÚ C/C 99.898-5 - TUBAROES - ELASMOTOX;35001004;
FECD;2.1.3;Móveis e Utensílios;21304004;
FECD;A1.3.2.01;Câmera para mergulho;21304004;
FECD;FECD001.2.1.01;INSS;35002009;
FECD;FECD001.1.1.07.09;PIS / COFINS / CSLL;21103006;
FECD;FECD001.1.4.01.040;BANCO ITAU C/C 14.385-5 - NOVARTIS - APCAL;35001006;
FECD;FECD001.1.1.11.02;MULTAS E JUROS;45006001;
FECD;IMP004.11;RECEITA DE IMPORTAÇÃO;21104002;
FECD;GRANT002.1.1.03.02;PASSAGENS INTERNACIONAIS;21704024;
FECD;GRANT001.1.1.01.01;INICIAÇÃO CIENTÍFICA;21701004;
FECD;TEP001.1.1.07.17;LOCOMOÇÃO URBANA;21304007;
FECD;PROJ001.1.1.07.28;IRRF SOBRE PAGAMENTOS P/ EXTERIOR;21506006;
FECD;FECD001.1.1.04.05;MATERIAL DE LIMPEZA;45005018;
FECD;PROJ001.1.1.07.22;INSCRIÇÕES EM CONGRESSO OU CURSOS;21507010;
FECD;PROJ001.1.2.01.02;MAQUINAS E EQUIPAMENTOS;21504004;
FECD;FECD001.1.1.04.07;MATERIAL DE INFORMÁTICA;45005036;
FECD;PROJ001.1.1.07.02;DESPESAS BANCÁRIAS;21505003;
FECD;FECD001.1.1.10.20;PROVISAO 1/3 FERIAS;45001023;
FECD;TEP001.1.1.01.03;DOUTORADO;21301023;
FECD;PROJ001.1.1.10.05;GRATIFICAÇÕES - PROJETOS;21501022;
FECD;FECD001.1.1.07.13;CORREIOS E POSTAGENS;45005003;
FECD;FECD001.1.1.03.02;PASSAGENS INTERNACIONAIS;45005013;
FECD;FECD001.1.1.01.03;DOUTORADO;45005004;
FECD;FECD001.1.1.04.12;PARTES E PEÇAS;45005029;
FECD;GRANT001.1.1.01.06;DESENVOLVEDOR DE PROTOCOLOS CIENTÍFICOS ;21701004;
FECD;TEP001.1.1.07.13;CORREIOS E POSTAGENS;21307007;
FECD;TEP001.1.1.02.03;DIÁRIAS DE CAMPO;21301024;
FECD;FECD001.1.4.02.002;BANCO ITAÚ C/C 14.340-0 - PROFª. ANA PAULA;35001005;
FECD;A1.5.2.03;Gastos com manutenção de veículos do Projeto (Revisão, manutenção, IPVA, seguro);21307010;
FECD;FECD001.1.4.02;RECEITAS ORDINÁRIAS GRANTS;;
FECD;GRANT001.1.1.04.99;PERDAS EM COMPRAS DE MATERIAL DE CONSUMO NACIONAL;21704015;
FECD;PROJ001.1.1.03.02;PASSAGENS INTERNACIONAIS;21504024;
FECD;1.3.2;Contas de Consumo;21304015;
FECD;TEP001.1.1.01.02;MESTRADO;21301023;
FECD;FECD001.1.4.03.017;BANCO ITAÚ C/C 99.893-6 - REDE D OR;35001009;
FECD;PROJ001.1.1.04.10;COMBUSTÍVEIS;21504006;
FECD;FECD001.1.4.02.014;BANCO ITAÚ C/C 99.883-7 - BARTIRA - GRANTS;35001005;
FECD;FECD001.1.1.10.24;PROVISÃO INSS FERIAS;45001027;
FECD;GRANT001.1.4.01.01;GRANTS;21601001;
FECD;PROJ001.1.1.10.32;PLANO DE SAÚDE E ODONTO - PROJETOS;21501025;
FECD;FECD001.1.4.01.023;BANCO DO BRASIL C/C 40.705-4 - LUCHM IBCCF;35001006;
FECD;GRANT001.1.1.04.01;REAGENTES;21704021;
FECD;PROJ001.1.1.07.17;LOCOMOÇÃO URBANA;21504007;
FECD;TEP001.1.1.07.23;IOF;21305001;
FECD;TEP001.1.2.01.99;PERDAS EM COMPRAS DE EQUIPAMENTOS;21304004;
